Tiempo,Temperatura,Humedad,Masa
61.78,18,59,-0.39
61.88,18,59,-0.44
61.98,18,59,-0.38
62.09,18,59,-0.62
62.21,18,59,-0.58
62.31,18,59,-0.39
62.42,18,59,-0.49
62.52,18,59,-0.5
62.62,18,59,-0.89
62.72,18,59,-0.35
62.83,18,59,-0.53
62.93,18,59,-0.61
63.03,18,59,-0.57
63.13,18,59,-0.49
63.23,18,59,-0.48
63.34,18,59,-0.4
63.44,18,59,-0.67
63.54,18,59,-0.34
63.64,18,59,-0.18
63.75,18,59,-0.02
63.85,18,59,-0.18
63.95,18,59,-0.56
64.05,18,59,-0.54
64.15,18,59,-0.45
64.28,18,59,-0.5
64.38,18,59,-0.37
64.48,18,59,-0.58
64.59,18,59,-0.93
64.69,18,59,-0.8
64.79,18,59,-0.74
64.89,18,59,-0.8
65,18,59,-0.92
65.1,18,59,-0.79
65.2,18,59,-0.52
65.3,18,59,-0.52
65.4,18,59,-0.52
65.51,18,59,-0.49
65.61,18,59,-0.23
65.71,18,59,-0.64
65.81,18,59,-0.57
65.92,18,59,-0.53
66.02,18,59,-0.48
66.12,18,59,-0.44
66.22,18,59,-0.69
66.35,18,59,-0.59
66.45,18,59,-0.58
66.55,18,59,-0.55
66.66,18,59,-1.01
66.76,18,59,-0.85
66.86,18,59,-0.79
66.96,18,59,-0.64
67.07,18,59,-0.59
67.17,18,59,-0.41
67.27,18,59,-0.71
67.37,18,59,-0.62
67.48,18,59,-0.57
67.58,18,59,-0.75
67.68,18,59,-0.81
67.78,18,59,-0.9
67.88,18,59,-1
67.99,18,59,-0.75
68.09,18,59,-0.64
68.19,18,59,-0.72
68.29,18,59,-0.53
68.42,18,59,-0.56
68.52,18,59,-0.4
68.62,18,59,-0.41
68.73,18,59,-0.62
68.83,18,59,-0.65
68.93,18,59,-0.53
69.03,18,59,-0.22
69.14,18,59,-0.73
69.24,18,59,-0.66
69.34,18,59,-0.6
69.44,18,59,-0.45
69.54,18,59,-0.78
69.65,18,59,-0.68
69.75,18,59,-0.68
69.85,18,59,-1.1
69.95,18,59,-0.71
70.06,18,59,-0.63
70.16,18,59,-0.7
70.26,18,59,-0.73
70.36,18,59,-0.5
70.49,18,59,-0.57
70.59,18,59,-0.78
70.69,18,59,-0.57
70.8,18,59,-0.59
70.9,18,59,-0.73
71,18,59,-0.73
71.1,18,59,-0.45
71.2,18,59,-0.57
71.31,18,59,-0.46
71.41,18,59,-0.73
71.51,18,59,-0.63
71.61,18,59,-0.47
71.72,18,59,-0.66
71.82,18,59,-0.65
71.92,18,59,-0.73
72.02,18,59,-1.05
72.13,18,59,-1.02
72.23,18,59,-0.71
72.33,18,59,-0.74
72.43,18,59,-0.67
72.56,18,59,-0.61
72.66,18,59,-0.83
72.76,18,59,-0.8
72.86,18,59,-0.74
72.97,18,59,-1.19
73.07,18,59,-1.14
73.17,18,59,-1.01
73.27,18,59,-0.57
73.38,18,59,-0.74
73.48,18,59,-0.57
73.58,18,59,-0.52
73.68,18,59,-0.55
73.79,18,59,-1.03
73.89,18,59,-1.06
73.99,18,59,-0.82
74.09,18,59,-0.92
74.2,18,59,-1.16
74.3,18,59,-1.09
74.4,18,59,-0.81
74.5,18,59,-0.9
74.63,18,59,-0.68
74.73,18,59,-0.96
74.83,18,59,-1.1
74.93,18,59,-0.89
75.04,18,59,-0.79
75.14,18,59,-1.04
75.24,18,59,-1.13
75.34,18,59,-0.8
75.45,18,59,-0.77
75.55,18,59,-0.67
75.65,18,59,-0.97
75.75,18,59,-1.35
75.86,18,59,-1
75.96,18,59,-0.78
76.06,18,59,-0.91
76.16,18,59,-0.95
76.26,18,59,-0.72
76.37,18,59,-0.88
76.47,18,59,-1.15
76.57,18,59,-1.15
76.7,18,59,-1.31
76.8,18,59,-1.25
76.9,18,59,-0.88
